rownum,emoji,grp_subgrp,desc,person_animal_other,anthro_type,gender,skin_tone,shape_type,shape_color,direction,sentiment_smileys_binary,cldr short name,codepoint,status,group,subgroup,char_len,version
1,😀,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,grinning face,1F600,fully-qualified,Smileys & Emotion,face-smiling,1,E1.0
2,😃,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,grinning face with big eyes,1F603,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
3,😄,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,grinning face with smiling eyes,1F604,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
4,😁,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,beaming face with smiling eyes,1F601,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
5,😆,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,grinning squinting face,1F606,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
6,😅,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,grinning face with sweat,1F605,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
7,🤣,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,rolling on the floor laughing,1F923,fully-qualified,Smileys & Emotion,face-smiling,1,E3.0
8,😂,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face with tears of joy,1F602,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
9,🙂,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,slightly smiling face,1F642,fully-qualified,Smileys & Emotion,face-smiling,1,E1.0
10,🙃,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,upside-down face,1F643,fully-qualified,Smileys & Emotion,face-smiling,1,E1.0
11,😉,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,winking face,1F609,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
12,😊,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with smiling eyes,1F60A,fully-qualified,Smileys & Emotion,face-smiling,1,E0.6
13,😇,Smileys & Emotion_face-smiling,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with halo,1F607,fully-qualified,Smileys & Emotion,face-smiling,1,E1.0
14,🥰,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with hearts,1F970,fully-qualified,Smileys & Emotion,face-affection,1,E11.0
15,😍,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with heart-eyes,1F60D,fully-qualified,Smileys & Emotion,face-affection,1,E0.6
16,🤩,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,star-struck,1F929,fully-qualified,Smileys & Emotion,face-affection,1,E5.0
17,😘,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face blowing a kiss,1F618,fully-qualified,Smileys & Emotion,face-affection,1,E0.6
18,😗,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,kissing face,1F617,fully-qualified,Smileys & Emotion,face-affection,1,E1.0
19,☺️,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face,263A FE0F,fully-qualified,Smileys & Emotion,face-affection,2,E0.6
20,☺,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face,263A,unqualified,Smileys & Emotion,face-affection,1,E0.6
21,😚,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,kissing face with closed eyes,1F61A,fully-qualified,Smileys & Emotion,face-affection,1,E0.6
22,😙,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,kissing face with smiling eyes,1F619,fully-qualified,Smileys & Emotion,face-affection,1,E1.0
23,🥲,Smileys & Emotion_face-affection,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with tear,1F972,fully-qualified,Smileys & Emotion,face-affection,1,E13.0
24,😋,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face savoring food,1F60B,fully-qualified,Smileys & Emotion,face-tongue,1,E0.6
25,😛,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face with tongue,1F61B,fully-qualified,Smileys & Emotion,face-tongue,1,E1.0
26,😜,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,winking face with tongue,1F61C,fully-qualified,Smileys & Emotion,face-tongue,1,E0.6
27,🤪,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,zany face,1F92A,fully-qualified,Smileys & Emotion,face-tongue,1,E5.0
28,😝,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,squinting face with tongue,1F61D,fully-qualified,Smileys & Emotion,face-tongue,1,E0.6
29,🤑,Smileys & Emotion_face-tongue,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,money-mouth face,1F911,fully-qualified,Smileys & Emotion,face-tongue,1,E1.0
30,🤗,Smileys & Emotion_face-hand,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,hugging face,1F917,fully-qualified,Smileys & Emotion,face-hand,1,E1.0
31,🤭,Smileys & Emotion_face-hand,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face with hand over mouth,1F92D,fully-qualified,Smileys & Emotion,face-hand,1,E5.0
32,🤫,Smileys & Emotion_face-hand,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,shushing face,1F92B,fully-qualified,Smileys & Emotion,face-hand,1,E5.0
33,🤔,Smileys & Emotion_face-hand,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,thinking face,1F914,fully-qualified,Smileys & Emotion,face-hand,1,E1.0
34,🤐,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,zipper-mouth face,1F910,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E1.0
35,🤨,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with raised eyebrow,1F928,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E5.0
36,😐,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,0,neutral face,1F610,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E0.7
37,😑,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,expressionless face,1F611,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E1.0
38,😶,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face without mouth,1F636,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E1.0
39,😏,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,smirking face,1F60F,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E0.6
40,😒,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,unamused face,1F612,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E0.6
41,🙄,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with rolling eyes,1F644,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E1.0
42,😬,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,0,grimacing face,1F62C,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E1.0
43,🤥,Smileys & Emotion_face-neutral-skeptical,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,lying face,1F925,fully-qualified,Smileys & Emotion,face-neutral-skeptical,1,E3.0
44,😌,Smileys & Emotion_face-sleepy,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,relieved face,1F60C,fully-qualified,Smileys & Emotion,face-sleepy,1,E0.6
45,😔,Smileys & Emotion_face-sleepy,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,pensive face,1F614,fully-qualified,Smileys & Emotion,face-sleepy,1,E0.6
46,😪,Smileys & Emotion_face-sleepy,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,sleepy face,1F62A,fully-qualified,Smileys & Emotion,face-sleepy,1,E0.6
47,🤤,Smileys & Emotion_face-sleepy,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,drooling face,1F924,fully-qualified,Smileys & Emotion,face-sleepy,1,E3.0
48,😴,Smileys & Emotion_face-sleepy,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,0,sleeping face,1F634,fully-qualified,Smileys & Emotion,face-sleepy,1,E1.0
49,😷,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,0,face with medical mask,1F637,fully-qualified,Smileys & Emotion,face-unwell,1,E0.6
50,🤒,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with thermometer,1F912,fully-qualified,Smileys & Emotion,face-unwell,1,E1.0
51,🤕,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with head-bandage,1F915,fully-qualified,Smileys & Emotion,face-unwell,1,E1.0
52,🤢,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,nauseated face,1F922,fully-qualified,Smileys & Emotion,face-unwell,1,E3.0
53,🤮,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face vomiting,1F92E,fully-qualified,Smileys & Emotion,face-unwell,1,E5.0
54,🤧,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,sneezing face,1F927,fully-qualified,Smileys & Emotion,face-unwell,1,E3.0
55,🥵,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,hot face,1F975,fully-qualified,Smileys & Emotion,face-unwell,1,E11.0
56,🥶,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,cold face,1F976,fully-qualified,Smileys & Emotion,face-unwell,1,E11.0
57,🥴,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,woozy face,1F974,fully-qualified,Smileys & Emotion,face-unwell,1,E11.0
58,😵,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,dizzy face,1F635,fully-qualified,Smileys & Emotion,face-unwell,1,E0.6
59,🤯,Smileys & Emotion_face-unwell,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,exploding head,1F92F,fully-qualified,Smileys & Emotion,face-unwell,1,E5.0
60,🤠,Smileys & Emotion_face-hat,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,cowboy hat face,1F920,fully-qualified,Smileys & Emotion,face-hat,1,E3.0
61,🥳,Smileys & Emotion_face-hat,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,partying face,1F973,fully-qualified,Smileys & Emotion,face-hat,1,E11.0
62,🥸,Smileys & Emotion_face-hat,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,0,disguised face,1F978,fully-qualified,Smileys & Emotion,face-hat,1,E13.0
63,😎,Smileys & Emotion_face-glasses,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,smiling face with sunglasses,1F60E,fully-qualified,Smileys & Emotion,face-glasses,1,E1.0
64,🤓,Smileys & Emotion_face-glasses,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,nerd face,1F913,fully-qualified,Smileys & Emotion,face-glasses,1,E1.0
65,🧐,Smileys & Emotion_face-glasses,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,1,face with monocle,1F9D0,fully-qualified,Smileys & Emotion,face-glasses,1,E5.0
66,😕,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,confused face,1F615,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
67,😟,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,worried face,1F61F,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
68,🙁,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,slightly frowning face,1F641,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
69,☹️,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,frowning face,2639 FE0F,fully-qualified,Smileys & Emotion,face-concerned,2,E0.7
70,☹,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,frowning face,2639,unqualified,Smileys & Emotion,face-concerned,1,E0.7
71,😮,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with open mouth,1F62E,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
72,😯,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,hushed face,1F62F,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
73,😲,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,astonished face,1F632,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
74,😳,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,flushed face,1F633,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
75,🥺,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,pleading face,1F97A,fully-qualified,Smileys & Emotion,face-concerned,1,E11.0
76,😦,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,frowning face with open mouth,1F626,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
77,😧,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,anguished face,1F627,fully-qualified,Smileys & Emotion,face-concerned,1,E1.0
78,😨,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,fearful face,1F628,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
79,😰,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,anxious face with sweat,1F630,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
80,😥,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,sad but relieved face,1F625,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
81,😢,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,crying face,1F622,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
82,😭,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,loudly crying face,1F62D,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
83,😱,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face screaming in fear,1F631,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
84,😖,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,confounded face,1F616,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
85,😣,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,persevering face,1F623,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
86,😞,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,disappointed face,1F61E,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
87,😓,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,downcast face with sweat,1F613,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
88,😩,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,weary face,1F629,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
89,😫,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,tired face,1F62B,fully-qualified,Smileys & Emotion,face-concerned,1,E0.6
90,🥱,Smileys & Emotion_face-concerned,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,yawning face,1F971,fully-qualified,Smileys & Emotion,face-concerned,1,E12.0
91,😤,Smileys & Emotion_face-negative,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with steam from nose,1F624,fully-qualified,Smileys & Emotion,face-negative,1,E0.6
92,😡,Smileys & Emotion_face-negative,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,pouting face,1F621,fully-qualified,Smileys & Emotion,face-negative,1,E0.6
93,😠,Smileys & Emotion_face-negative,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,angry face,1F620,fully-qualified,Smileys & Emotion,face-negative,1,E0.6
94,🤬,Smileys & Emotion_face-negative,anthropomorphic,smiley,face-gesture,neutral,neutral,,,,-1,face with symbols on mouth,1F92C,fully-qualified,Smileys & Emotion,face-negative,1,E5.0
95,😈,Smileys & Emotion_face-negative,anthropomorphic,other,face,neutral,neutral,,,,,smiling face with horns,1F608,fully-qualified,Smileys & Emotion,face-negative,1,E1.0
96,👿,Smileys & Emotion_face-negative,anthropomorphic,other,face,neutral,neutral,,,,,angry face with horns,1F47F,fully-qualified,Smileys & Emotion,face-negative,1,E0.6
